Chapter_Shloka_id,Subject,Predicate,Object
BG_1_1,mama,are,pandavascaiva kimakurvata sanjaya
BG_1_2,raja,approached,acaryam
BG_1_2,raja,spoke,vacanam
BG_1_3,vyudham,is,drupadaputrena tava sisyena dhimata
BG_1_4,yuyudhano,is,viratasca drupadasca maharathah
BG_1_5,purujitkuntibhojasca,are,saibyasca narapungavah
BG_1_6,saubhadro,is,draupadeyasca sarva eva maharathah
BG_1_7,nayaka,is,mama sainyasya
BG_1_7,I,speak,tanbravimi te
BG_1_8,asvatthama,is,vikarnasca saumadattirjayadrathah
BG_1_9,nanasastrapraharanah,are,sarve yuddhavisaradah
BG_1_10,this,is,paryaptam tvidametesam balam bhimabhiraksitam
BG_1_11,bhismah,is being protected,all
BG_1_12,sankham,sounded,pratapavan
BG_1_13,sound,reached,everywhere
BG_1_14,madhavah,is,divine
BG_1_14,pandavas,is,divine
BG_1_14,sankh,is,divine
BG_1_15,paundram,sounded,mahasankham
BG_1_15,bhimakarma,is,terrific
BG_1_16,nakulah,is,sugandhika
BG_1_16,sahadevasca,is,nipuspaka
BG_1_17,dhrstadyumna,is,virata
BG_1_17,satyaki,is,caparajita
BG_1_18,saubhadrasca,is,mahabahu
BG_1_18,sankhandadhmuh,is,prthakprthak
BG_1_19,nabhasca,sounded,prthivim
BG_1_19,tumulo,sounded,prthivim
BG_1_20,pandavah,raised,sastrasampate
BG_1_20,pandavah,raised,dhanushyudhyama
BG_1_21,me,sthapaya,ratham
BG_1_21,ratham,sthapaya,senayorubhayormadhye
BG_1_22,yoddhavyam,saha,kairmaya
BG_1_22,yoddhavyam,asmin,ranasamudyame
BG_1_23,dhartarastrasya,yuddhe,priyaka
BG_1_23,priyaka,kirsavah,durbuddheryuddhe
BG_1_24,rathottamam,sthapayitva,senayorubhayormadhye
BG_1_25,partha,uvaca,ansamavetankuruniti
BG_1_26,acaryan,ulbhratrnputranpautransakhimstatha,pautransakhimstatha
BG_1_27,kaunteyah,sarvanbandhunavasthitan,sarvanbandhunavasthitan
BG_1_28,krishna,yuyutsunsamupasthitan,yuyutsunsamupasthitan
BG_1_29,me,jayate,romaharsasca
BG_1_29,me,jayate,vepathusca
BG_1_30,me,bhramativa,manah
BG_1_30,me,na ca saknomyavasstatum,bhramativa
BG_1_31,I,do not see,good in killing relatives
BG_1_32,Karna,what is the use of,kingdom
BG_1_32,Karna,what is the use of,enjoying life
BG_1_33,These,are situated,"life, wealth, and relatives"
BG_1_33,These,are to be abandoned,"life, wealth, and relatives"
BG_1_34,"Father-in-law, maternal uncles, sons, and brothers-in-law",are not,related to self
BG_1_36,One should never,resort to,sinful actions
BG_1_37,Relatives,are the cause of,happiness
BG_1_37,Relatives,are to be killed,O Madhava
BG_1_40,Dharma,does not belong to,family
BG_1_40,Adharma,overpowers,the entire family
BG_1_41,strisu,dustasu,varsneya
BG_1_41,varsneya,jayate,varnasankarah
BG_1_42,pitaro,pantanti,hyesam
BG_1_42,hyesam,luptapindodakakriyah,akriyah
BG_1_43,jatidharmah,utsadyante,sasvatah
BG_1_43,kuladharmasca,utsadyante,sasvatah
BG_1_44,narake,niyatam,vaso
BG_1_44,vaso,bhavatityanususruma,anususruma
BG_1_45,yadrajyasukhalobhena,hantum,svajanamudyatah
BG_1_46,dhartarastra,hanyustanme,ksemataram
BG_1_46,ksemataram,bhavet,bhavet
BG_1_47,sasaram,visrjya,capam
BG_1_47,capam,sokasamvignamanasah,manasah
BG_10_1,I,will speak,O
BG_10_1,O,is dear,me
BG_10_1,O,is beneficial,me
BG_10_1,me,will speak,O
BG_10_1,O,is like nectar,me
BG_10_1,me,speak,O
BG_10_2,I,am the origin,of gods and great sages
BG_10_3,I,is freed,from all sins of mortal beings
BG_10_3,one who knows,knows,me
BG_10_3,one who knows,sees,the Lord of the world
BG_10_3,one who knows,sees,the greatest Lord of the worlds
BG_10_3,one who knows,is free from delusion,not attached to illusion
BG_10_3,one who knows,is freed,from all sins of mortal beings
BG_10_4,intellect,is the ability,of the inner instrument to understand its objects
BG_10_4,knowledge,is the understanding,of the self and its objects
BG_10_4,trust,is the steadfastness,of the self when praised or blamed
BG_10_4,truth,is what is spoken,"when it corresponds to reality, is heard, and experienced"
BG_10_4,self-restraint,is the mastery,of the external senses
BG_10_4,equanimity,is the mastery,of the internal instrument
BG_10_5,qualities,are manifest,in beings
BG_10_5,qualities,are different,in beings according to their actions
BG_10_16,Krishna,pervades,all these worlds
BG_10_16,Krishna,is capable of describing,divine glories
BG_10_16,Krishna,resides,within all beings
BG_10_16,Krishna,is the source of glory,of all beings
BG_10_17,Yoga,should meditate,on Krishna
BG_10_17,Krishna,should be meditated upon,in all beings
BG_10_17,Krishna,is the object of meditation,in all beings
BG_10_18,Krishna's words,are nectar,to the hearers
BG_10_18,Krishna,has been spoken,by the wise
BG_10_18,Krishna,is the giver,of liberation from suffering
BG_10_18,Krishna,is the giver,of prosperity
BG_10_19,Krishna,will describe,divine glories
BG_10_19,Krishna's glories,are countless,to describe
BG_10_19,Krishna,is the chief,of all glories
BG_10_20,Krishna,is the beginning,of all beings
BG_10_20,Krishna,is the middle,of all beings
BG_10_20,Krishna,is the end,of all beings
BG_10_20,Krishna,is the cause,of all beings
BG_10_20,Krishna,is the self,of all beings
BG_10_20,Krishna,is the object of meditation,in all beings
BG_10_21,I,am,Marici
BG_10_21,I,am,Marut
BG_10_21,I,am,Nakshatra
BG_10_21,I,am,Sasi
BG_10_22,I,am,Indriya
BG_10_22,I,am,Manas
BG_10_22,I,am,Cetana
BG_10_23,I,am,Vasu
BG_10_23,I,am,Pavaka
BG_10_23,I,am,Meru
BG_10_24,I,am,Sena
BG_10_24,I,am,Skanda
BG_10_24,I,am,Sagara
BG_10_25,I,am,Yajna
BG_10_25,I,am,Himalaya
BG_10_26,gandharvanam,is,citrarathah
BG_10_26,siddhanam,is,kapilo munih
BG_10_26,asvatthah,is,sarvavrksanam
BG_10_26,naradah,is,devah
BG_10_26,devarsinam,is,naradah
BG_10_26,devah,is,santah
BG_10_26,rsitvam,is,praptah
BG_10_26,mantradarsitvatte,is,devarsayah
BG_10_26,tesam,is,naradah
BG_10_26,gandharvanam,is,gandharvah
BG_10_26,siddhanam,is,janmanaiva dharmajnanavairagyaisvaryatisayam praptanam
BG_10_26,kapilo,is,munih
BG_10_27,airavatam,is,gajendranam
BG_10_27,naranam,is,naradhipam
BG_10_27,uccaihsravasam,is,asvanam
BG_10_27,uccaihsravah,is,asvarajah
BG_10_27,amrtodbhavam,is,amrtanimittam
BG_10_27,athanodbhavam,is,airavatam
BG_10_27,iravatyah,is,apatyam
BG_10_27,gajendranam,is,hastisvaranam
BG_10_27,naranam,is,manusyanam
BG_10_27,naradhipam,is,rajanam
BG_10_28,prajanascasmi,is,kandarpah
BG_10_28,sarpanamasmi,is,vasukih
BG_10_28,ayudhanam,is,vajram
